Date,Denton Branch Rail Trail (MedPark Station) Pedestrians,Denton Branch Rail Trail (MedPark Station) Cyclists
2014-07-23 00:00:00,49,92
2014-07-24 00:00:00,24,120
2014-07-25 00:00:00,31,69
2014-07-26 00:00:00,34,108
2014-07-27 00:00:00,32,105
2014-07-28 00:00:00,50,94
2014-07-29 00:00:00,38,100
2014-07-30 00:00:00,48,82
2014-07-31 00:00:00,49,67
2014-08-01 00:00:00,53,95
2014-08-02 00:00:00,55,164
2014-08-03 00:00:00,20,132
2014-08-04 00:00:00,72,94
2014-08-05 00:00:00,52,90
2014-08-06 00:00:00,49,88
2014-08-07 00:00:00,53,88
2014-08-08 00:00:00,53,43
2014-08-09 00:00:00,36,119
2014-08-10 00:00:00,25,116
2014-08-11 00:00:00,54,94
2014-08-12 00:00:00,49,89
2014-08-13 00:00:00,27,86
2014-08-14 00:00:00,42,132
2014-08-15 00:00:00,49,89
2014-08-16 00:00:00,49,91
2014-08-17 00:00:00,36,61
2014-08-18 00:00:00,63,100
2014-08-19 00:00:00,58,106
2014-08-20 00:00:00,55,59
2014-08-21 00:00:00,35,77
2014-08-22 00:00:00,56,58
2014-08-23 00:00:00,66,109
2014-08-24 00:00:00,46,77
2014-08-25 00:00:00,55,79
2014-08-26 00:00:00,56,76
2014-08-27 00:00:00,53,82
2014-08-28 00:00:00,40,97
2014-08-29 00:00:00,53,47
2014-08-30 00:00:00,39,142
2014-08-31 00:00:00,29,99
2014-09-01 00:00:00,43,149
2014-09-02 00:00:00,49,71
2014-09-03 00:00:00,62,88
2014-09-04 00:00:00,48,104
2014-09-05 00:00:00,47,51
2014-09-06 00:00:00,78,82
2014-09-07 00:00:00,48,89
2014-09-08 00:00:00,131,73
2014-09-09 00:00:00,61,88
2014-09-10 00:00:00,72,90
2014-09-11 00:00:00,64,103
2014-09-12 00:00:00,42,36
2014-09-13 00:00:00,62,105
2014-09-14 00:00:00,46,137
2014-09-15 00:00:00,60,71
2014-09-16 00:00:00,72,125
2014-09-17 00:00:00,64,82
2014-09-18 00:00:00,74,69
2014-09-19 00:00:00,38,56
2014-09-20 00:00:00,73,81
2014-09-21 00:00:00,47,84
2014-09-22 00:00:00,52,58
2014-09-23 00:00:00,81,78
2014-09-24 00:00:00,82,72
2014-09-25 00:00:00,62,103
2014-09-26 00:00:00,65,46
2014-09-27 00:00:00,82,89
2014-09-28 00:00:00,50,93
2014-09-29 00:00:00,38,92
2014-09-30 00:00:00,47,80
2014-10-01 00:00:00,51,84
2014-10-02 00:00:00,48,53
2014-10-03 00:00:00,54,82
2014-10-04 00:00:00,86,72
2014-10-05 00:00:00,43,95
2014-10-06 00:00:00,49,79
2014-10-07 00:00:00,50,87
2014-10-08 00:00:00,42,64
2014-10-09 00:00:00,40,64
2014-10-10 00:00:00,43,45
2014-10-11 00:00:00,50,38
2014-10-12 00:00:00,60,90
2014-10-13 00:00:00,40,34
2014-10-14 00:00:00,42,58
2014-10-15 00:00:00,46,84
2014-10-16 00:00:00,71,54
2014-10-17 00:00:00,66,58
2014-10-18 00:00:00,94,97
2014-10-19 00:00:00,34,72
2014-10-20 00:00:00,68,75
2014-10-21 00:00:00,62,95
2014-10-22 00:00:00,38,78
2014-10-23 00:00:00,60,68
2014-10-24 00:00:00,59,54
2014-10-25 00:00:00,64,65
2014-10-26 00:00:00,43,66
2014-10-27 00:00:00,63,61
2014-10-28 00:00:00,50,82
2014-10-29 00:00:00,74,96
2014-10-30 00:00:00,81,65
2014-10-31 00:00:00,50,44
2014-11-01 00:00:00,76,38
2014-11-02 00:00:00,33,53
2014-11-03 00:00:00,54,62
2014-11-04 00:00:00,10,12
2014-11-05 00:00:00,40,15
2014-11-06 00:00:00,42,42
2014-11-07 00:00:00,43,50
2014-11-08 00:00:00,66,48
2014-11-09 00:00:00,41,58
2014-11-10 00:00:00,45,49
2014-11-11 00:00:00,22,20
2014-11-12 00:00:00,21,11
2014-11-13 00:00:00,20,22
2014-11-14 00:00:00,15,18
2014-11-15 00:00:00,59,17
2014-11-16 00:00:00,10,7
2014-11-17 00:00:00,24,10
2014-11-18 00:00:00,20,21
2014-11-19 00:00:00,41,28
2014-11-20 00:00:00,44,35
2014-11-21 00:00:00,44,23
2014-11-22 00:00:00,24,10
2014-11-23 00:00:00,61,117
2014-11-24 00:00:00,52,42
2014-11-25 00:00:00,41,51
2014-11-26 00:00:00,41,39
2014-11-27 00:00:00,28,32
2014-11-28 00:00:00,43,72
2014-11-29 00:00:00,64,45
2014-11-30 00:00:00,39,72
2014-12-01 00:00:00,16,17
2014-12-02 00:00:00,14,12
2014-12-03 00:00:00,27,26
2014-12-04 00:00:00,33,13
2014-12-05 00:00:00,57,25
2014-12-06 00:00:00,57,69
2014-12-07 00:00:00,38,27
2014-12-08 00:00:00,31,44
2014-12-09 00:00:00,30,25
2014-12-10 00:00:00,33,31
2014-12-11 00:00:00,33,30
2014-12-12 00:00:00,48,29
2014-12-13 00:00:00,40,52
2014-12-14 00:00:00,26,27
2014-12-15 00:00:00,50,36
2014-12-16 00:00:00,33,20
2014-12-17 00:00:00,20,12
2014-12-18 00:00:00,46,17
2014-12-19 00:00:00,27,12
2014-12-20 00:00:00,54,30
2014-12-21 00:00:00,26,34
2014-12-22 00:00:00,46,63
2014-12-23 00:00:00,27,6
2014-12-24 00:00:00,18,23
2014-12-25 00:00:00,18,12
2014-12-26 00:00:00,45,34
2014-12-27 00:00:00,37,13
2014-12-28 00:00:00,29,19
2014-12-29 00:00:00,36,24
2014-12-30 00:00:00,21,15
2014-12-31 00:00:00,24,9
2015-01-01 00:00:00,12,1
2015-01-02 00:00:00,27,8
2015-01-03 00:00:00,43,38
2015-01-04 00:00:00,20,20
2015-01-05 00:00:00,39,16
2015-01-06 00:00:00,34,38
2015-01-07 00:00:00,19,9
2015-01-08 00:00:00,22,15
2015-01-09 00:00:00,17,11
2015-01-10 00:00:00,35,19
2015-01-11 00:00:00,12,16
2015-01-12 00:00:00,24,14
2015-01-13 00:00:00,15,10
2015-01-14 00:00:00,29,16
2015-01-15 00:00:00,22,48
2015-01-16 00:00:00,34,39
2015-01-17 00:00:00,57,76
2015-01-18 00:00:00,43,92
2015-01-19 00:00:00,32,95
2015-01-20 00:00:00,51,59
2015-01-21 00:00:00,43,41
2015-01-22 00:00:00,27,7
2015-01-23 00:00:00,27,23
2015-01-24 00:00:00,57,78
2015-01-25 00:00:00,47,76
2015-01-26 00:00:00,34,55
2015-01-27 00:00:00,40,79
2015-01-28 00:00:00,48,73
2015-01-29 00:00:00,40,47
2015-01-30 00:00:00,40,21
2015-01-31 00:00:00,42,37
2015-02-01 00:00:00,31,21
2015-02-02 00:00:00,29,18
2015-02-03 00:00:00,46,34
2015-02-04 00:00:00,38,22
2015-02-05 00:00:00,26,17
2015-02-06 00:00:00,37,19
2015-02-07 00:00:00,75,92
2015-02-08 00:00:00,49,129
2015-02-09 00:00:00,62,67
2015-02-10 00:00:00,43,68
2015-02-11 00:00:00,59,59
2015-02-12 00:00:00,35,25
2015-02-13 00:00:00,53,32
2015-02-14 00:00:00,63,94
2015-02-15 00:00:00,21,75
2015-02-16 00:00:00,29,6
2015-02-17 00:00:00,30,25
2015-02-18 00:00:00,35,38
2015-02-19 00:00:00,31,41
2015-02-20 00:00:00,49,35
2015-02-21 00:00:00,43,45
2015-02-22 00:00:00,9,5
2015-02-23 00:00:00,15,3
2015-02-24 00:00:00,26,4
2015-02-25 00:00:00,23,8
2015-02-26 00:00:00,17,20
2015-02-27 00:00:00,34,6
2015-02-28 00:00:00,8,3
2015-03-01 00:00:00,11,6
2015-03-02 00:00:00,26,13
2015-03-03 00:00:00,31,28
2015-03-04 00:00:00,15,4
2015-03-05 00:00:00,24,11
2015-03-06 00:00:00,33,17
2015-03-07 00:00:00,54,93
2015-03-08 00:00:00,18,34
2015-03-09 00:00:00,17,3
2015-03-10 00:00:00,24,37
2015-03-11 00:00:00,67,62
2015-03-12 00:00:00,49,62
2015-03-13 00:00:00,32,14
2015-03-14 00:00:00,62,68
2015-03-15 00:00:00,62,111
2015-03-16 00:00:00,63,98
2015-03-17 00:00:00,58,84
2015-03-18 00:00:00,38,46
2015-03-19 00:00:00,41,62
2015-03-20 00:00:00,26,11
2015-03-21 00:00:00,41,57
2015-03-22 00:00:00,44,88
2015-03-23 00:00:00,55,97
2015-03-24 00:00:00,66,93
2015-03-25 00:00:00,54,58
2015-03-26 00:00:00,259,44
2015-03-27 00:00:00,31,53
2015-03-28 00:00:00,66,109
2015-03-29 00:00:00,43,151
2015-03-30 00:00:00,58,90
2015-03-31 00:00:00,91,68
2015-04-01 00:00:00,35,26
2015-04-02 00:00:00,73,73
2015-04-03 00:00:00,83,37
2015-04-04 00:00:00,89,78
2015-04-05 00:00:00,35,24
2015-04-06 00:00:00,72,68
2015-04-07 00:00:00,53,77
2015-04-08 00:00:00,47,31
2015-04-09 00:00:00,43,73
2015-04-10 00:00:00,63,52
2015-04-11 00:00:00,58,101
2015-04-12 00:00:00,46,112
2015-04-13 00:00:00,26,30
2015-04-14 00:00:00,27,50
2015-04-15 00:00:00,85,86
2015-04-16 00:00:00,50,55
2015-04-17 00:00:00,50,33
2015-04-18 00:00:00,48,118
2015-04-19 00:00:00,65,112
2015-04-20 00:00:00,57,68
2015-04-21 00:00:00,42,73
2015-04-22 00:00:00,41,51
2015-04-23 00:00:00,43,50
2015-04-24 00:00:00,42,4
2015-04-25 00:00:00,87,166
2015-04-26 00:00:00,35,150
2015-04-27 00:00:00,27,17
2015-04-28 00:00:00,35,30
2015-04-29 00:00:00,49,128
2015-04-30 00:00:00,34,109
2015-05-01 00:00:00,66,86
2015-05-02 00:00:00,87,112
2015-05-03 00:00:00,77,144
2015-05-04 00:00:00,49,70
2015-05-05 00:00:00,39,64
2015-05-06 00:00:00,49,54
2015-05-07 00:00:00,61,35
2015-05-08 00:00:00,50,36
2015-05-09 00:00:00,55,33
2015-05-10 00:00:00,21,11
2015-05-11 00:00:00,64,100
2015-05-12 00:00:00,51,81
2015-05-13 00:00:00,13,23
2015-05-14 00:00:00,46,73
2015-05-15 00:00:00,50,36
2015-05-16 00:00:00,60,73
2015-05-17 00:00:00,35,148
2015-05-18 00:00:00,55,103
2015-05-19 00:00:00,61,50
2015-05-20 00:00:00,77,70
2015-05-21 00:00:00,57,41
2015-05-22 00:00:00,49,45
2015-05-23 00:00:00,71,80
2015-05-24 00:00:00,50,63
2015-05-25 00:00:00,48,104
2015-05-26 00:00:00,46,73
2015-05-27 00:00:00,74,79
2015-05-28 00:00:00,54,84
2015-05-29 00:00:00,65,57
2015-05-30 00:00:00,61,85
2015-05-31 00:00:00,67,239
2015-06-01 00:00:00,63,106
2015-06-02 00:00:00,79,102
2015-06-03 00:00:00,84,131
2015-06-04 00:00:00,76,99
2015-06-05 00:00:00,48,60
2015-06-06 00:00:00,70,159
2015-06-07 00:00:00,53,172
2015-06-08 00:00:00,46,103
2015-06-09 00:00:00,34,101
2015-06-10 00:00:00,37,86
2015-06-11 00:00:00,43,77
2015-06-12 00:00:00,49,103
2015-06-13 00:00:00,54,131
2015-06-14 00:00:00,42,137
2015-06-15 00:00:00,58,74
2015-06-16 00:00:00,47,49
2015-06-17 00:00:00,21,8
2015-06-18 00:00:00,52,67
2015-06-19 00:00:00,37,85
2015-06-20 00:00:00,64,149
2015-06-21 00:00:00,34,57
2015-06-22 00:00:00,45,93
2015-06-23 00:00:00,29,93
2015-06-24 00:00:00,46,81
2015-06-25 00:00:00,57,98
2015-06-26 00:00:00,50,55
2015-06-27 00:00:00,54,206
2015-06-28 00:00:00,71,162
2015-06-29 00:00:00,44,114
2015-06-30 00:00:00,40,84
2015-07-01 00:00:00,33,89
2015-07-02 00:00:00,31,70
2015-07-03 00:00:00,53,111
2015-07-04 00:00:00,30,155
2015-07-05 00:00:00,31,81
2015-07-06 00:00:00,40,101
2015-07-07 00:00:00,39,100
2015-07-08 00:00:00,39,85
2015-07-09 00:00:00,47,93
2015-07-10 00:00:00,69,86
2015-07-11 00:00:00,39,145
2015-07-12 00:00:00,49,129
2015-07-13 00:00:00,38,81
2015-07-14 00:00:00,53,82
2015-07-15 00:00:00,28,101
2015-07-16 00:00:00,35,92
2015-07-17 00:00:00,38,78
2015-07-18 00:00:00,36,126
2015-07-19 00:00:00,48,129
2015-07-20 00:00:00,29,90
2015-07-21 00:00:00,34,113
2015-07-22 00:00:00,43,66
2015-07-23 00:00:00,46,117
2015-07-24 00:00:00,32,49
2015-07-25 00:00:00,59,181
2015-07-26 00:00:00,36,93
2015-07-27 00:00:00,58,90
2015-07-28 00:00:00,56,96
2015-07-29 00:00:00,50,88
2015-07-30 00:00:00,42,75
2015-07-31 00:00:00,43,80
2015-08-01 00:00:00,62,146
2015-08-02 00:00:00,58,131
2015-08-03 00:00:00,49,84
2015-08-04 00:00:00,49,92
2015-08-05 00:00:00,33,93
2015-08-06 00:00:00,38,102
2015-08-07 00:00:00,33,74
2015-08-08 00:00:00,41,107
2015-08-09 00:00:00,27,138
2015-08-10 00:00:00,32,79
2015-08-11 00:00:00,56,105
2015-08-12 00:00:00,39,78
2015-08-13 00:00:00,33,97
2015-08-14 00:00:00,50,74
2015-08-15 00:00:00,41,154
2015-08-16 00:00:00,222,125
2015-08-17 00:00:00,47,90
2015-08-18 00:00:00,65,106
2015-08-19 00:00:00,47,99
2015-08-20 00:00:00,53,145
2015-08-21 00:00:00,52,86
2015-08-22 00:00:00,48,174
2015-08-23 00:00:00,43,130
2015-08-24 00:00:00,83,109
2015-08-25 00:00:00,67,93
2015-08-26 00:00:00,39,102
2015-08-27 00:00:00,31,95
2015-08-28 00:00:00,51,105
2015-08-29 00:00:00,64,142
2015-08-30 00:00:00,41,128
2015-08-31 00:00:00,47,98
2015-09-01 00:00:00,73,97
2015-09-02 00:00:00,36,102
2015-09-03 00:00:00,41,82
2015-09-04 00:00:00,37,78
2015-09-05 00:00:00,60,155
2015-09-06 00:00:00,36,113
2015-09-07 00:00:00,54,133
2015-09-08 00:00:00,51,88
2015-09-09 00:00:00,36,50
2015-09-10 00:00:00,51,73
2015-09-11 00:00:00,47,93
2015-09-12 00:00:00,71,208
2015-09-13 00:00:00,57,139
2015-09-14 00:00:00,45,80
2015-09-15 00:00:00,53,98
2015-09-16 00:00:00,43,105
2015-09-17 00:00:00,28,73
2015-09-18 00:00:00,41,66
2015-09-19 00:00:00,47,65
2015-09-20 00:00:00,50,143
2015-09-21 00:00:00,39,75
2015-09-22 00:00:00,69,75
2015-09-23 00:00:00,28,96
2015-09-24 00:00:00,48,89
2015-09-25 00:00:00,50,89
2015-09-26 00:00:00,40,115
2015-09-27 00:00:00,64,131
2015-09-28 00:00:00,55,105
2015-09-29 00:00:00,58,91
2015-09-30 00:00:00,42,113
2015-10-01 00:00:00,40,69
2015-10-02 00:00:00,51,93
2015-10-03 00:00:00,60,133
2015-10-04 00:00:00,67,97
2015-10-05 00:00:00,36,72
2015-10-06 00:00:00,59,82
2015-10-07 00:00:00,52,109
2015-10-08 00:00:00,39,95
2015-10-09 00:00:00,29,66
2015-10-10 00:00:00,53,145
2015-10-11 00:00:00,52,116
2015-10-12 00:00:00,27,84
2015-10-13 00:00:00,93,83
2015-10-14 00:00:00,42,58
2015-10-15 00:00:00,47,70
2015-10-16 00:00:00,32,63
2015-10-17 00:00:00,66,91
2015-10-18 00:00:00,47,135
2015-10-19 00:00:00,48,94
2015-10-20 00:00:00,49,61
2015-10-21 00:00:00,42,60
2015-10-22 00:00:00,39,50
2015-10-23 00:00:00,30,11
2015-10-24 00:00:00,42,7
2015-10-25 00:00:00,42,40
2015-10-26 00:00:00,30,81
2015-10-27 00:00:00,58,73
2015-10-28 00:00:00,44,75
2015-10-29 00:00:00,39,89
2015-10-30 00:00:00,14,6
2015-10-31 00:00:00,57,50
2015-11-01 00:00:00,48,54
2015-11-02 00:00:00,53,73
2015-11-03 00:00:00,89,77
2015-11-04 00:00:00,48,76
2015-11-05 00:00:00,17,40
2015-11-06 00:00:00,34,36
2015-11-07 00:00:00,41,66
2015-11-08 00:00:00,63,86
2015-11-09 00:00:00,50,48
2015-11-10 00:00:00,63,63
2015-11-11 00:00:00,32,47
2015-11-12 00:00:00,43,62
2015-11-13 00:00:00,42,48
2015-11-14 00:00:00,41,77
2015-11-15 00:00:00,41,36
2015-11-16 00:00:00,25,10
2015-11-17 00:00:00,29,39
2015-11-18 00:00:00,23,61
2015-11-19 00:00:00,62,42
2015-11-20 00:00:00,60,57
2015-11-21 00:00:00,42,56
2015-11-22 00:00:00,30,18
2015-11-23 00:00:00,37,19
2015-11-24 00:00:00,34,46
2015-11-25 00:00:00,32,38
2015-11-26 00:00:00,21,21
2015-11-27 00:00:00,13,3
2015-11-28 00:00:00,29,3
2015-11-29 00:00:00,12,4
2015-11-30 00:00:00,32,27
2015-12-01 00:00:00,41,26
2015-12-02 00:00:00,34,31
2015-12-03 00:00:00,38,44
2015-12-04 00:00:00,46,41
2015-12-05 00:00:00,43,101
2015-12-06 00:00:00,26,44
2015-12-07 00:00:00,43,51
2015-12-08 00:00:00,34,51
2015-12-09 00:00:00,36,54
2015-12-10 00:00:00,41,86
2015-12-11 00:00:00,66,51
2015-12-12 00:00:00,51,49
2015-12-13 00:00:00,22,28
2015-12-14 00:00:00,51,42
2015-12-15 00:00:00,41,53
2015-12-16 00:00:00,21,28
2015-12-17 00:00:00,35,22
2015-12-18 00:00:00,33,18
2015-12-19 00:00:00,44,73
2015-12-20 00:00:00,41,21
2015-12-21 00:00:00,54,39
2015-12-22 00:00:00,41,37
2015-12-23 00:00:00,38,45
2015-12-24 00:00:00,42,52
2015-12-25 00:00:00,26,41
2015-12-26 00:00:00,42,19
2015-12-27 00:00:00,2,1
2015-12-28 00:00:00,29,8
2015-12-29 00:00:00,31,24
2015-12-30 00:00:00,41,33
2015-12-31 00:00:00,33,37
2016-01-01 00:00:00,42,50
2016-01-02 00:00:00,32,37
2016-01-03 00:00:00,47,82
2016-01-04 00:00:00,45,28
2016-01-05 00:00:00,24,30
2016-01-06 00:00:00,24,13
2016-01-07 00:00:00,45,37
2016-01-08 00:00:00,42,27
2016-01-09 00:00:00,26,17
2016-01-10 00:00:00,17,21
2016-01-11 00:00:00,42,14
2016-01-12 00:00:00,35,41
2016-01-13 00:00:00,43,42
2016-01-14 00:00:00,35,29
2016-01-15 00:00:00,31,42
2016-01-16 00:00:00,32,29
2016-01-17 00:00:00,33,68
2016-01-18 00:00:00,50,36
2016-01-19 00:00:00,41,46
2016-01-20 00:00:00,54,24
2016-01-21 00:00:00,19,23
2016-01-22 00:00:00,32,28
2016-01-23 00:00:00,49,39
2016-01-24 00:00:00,49,95
2016-01-25 00:00:00,46,47
2016-01-26 00:00:00,23,36
2016-01-27 00:00:00,26,27
2016-01-28 00:00:00,37,66
2016-01-29 00:00:00,37,57
2016-01-30 00:00:00,47,137
2016-01-31 00:00:00,67,115
2016-02-01 00:00:00,35,43
2016-02-02 00:00:00,40,47
2016-02-03 00:00:00,22,33
2016-02-04 00:00:00,26,29
2016-02-05 00:00:00,22,34
2016-02-06 00:00:00,43,44
2016-02-07 00:00:00,45,51
2016-02-08 00:00:00,13,20
2016-02-09 00:00:00,35,35
2016-02-10 00:00:00,30,43
2016-02-11 00:00:00,44,52
2016-02-12 00:00:00,44,51
2016-02-13 00:00:00,72,63
2016-02-14 00:00:00,53,77
2016-02-15 00:00:00,47,59
2016-02-16 00:00:00,40,44
2016-02-17 00:00:00,45,50
2016-02-18 00:00:00,35,37
2016-02-19 00:00:00,53,45
2016-02-20 00:00:00,73,140
2016-02-21 00:00:00,46,54
2016-02-22 00:00:00,31,22
2016-02-23 00:00:00,8,7
2016-02-24 00:00:00,14,23
2016-02-25 00:00:00,55,37
2016-02-26 00:00:00,44,30
2016-02-27 00:00:00,81,142
2016-02-28 00:00:00,67,99
2016-02-29 00:00:00,24,57
2016-03-01 00:00:00,39,39
2016-03-02 00:00:00,35,32
2016-03-03 00:00:00,45,35
2016-03-04 00:00:00,51,51
2016-03-05 00:00:00,43,137
2016-03-06 00:00:00,47,93
2016-03-07 00:00:00,18,16
2016-03-08 00:00:00,32,17
2016-03-09 00:00:00,27,10
2016-03-10 00:00:00,26,9
2016-03-11 00:00:00,17,14
2016-03-12 00:00:00,64,58
2016-03-13 00:00:00,70,128
2016-03-14 00:00:00,38,76
2016-03-15 00:00:00,55,88
2016-03-16 00:00:00,57,67
2016-03-17 00:00:00,21,25
2016-03-18 00:00:00,35,16
2016-03-19 00:00:00,43,52
2016-03-20 00:00:00,32,58
2016-03-21 00:00:00,36,30
2016-03-22 00:00:00,37,58
2016-03-23 00:00:00,47,34
2016-03-24 00:00:00,48,31
2016-03-25 00:00:00,25,69
2016-03-26 00:00:00,49,125
2016-03-27 00:00:00,48,61
2016-03-28 00:00:00,27,73
2016-03-29 00:00:00,51,63
2016-03-30 00:00:00,39,20
2016-03-31 00:00:00,59,78
2016-04-01 00:00:00,24,36
2016-04-02 00:00:00,77,194
2016-04-03 00:00:00,60,187
2016-04-04 00:00:00,302,63
2016-04-05 00:00:00,61,65
2016-04-06 00:00:00,27,59
2016-04-07 00:00:00,51,70
2016-04-08 00:00:00,56,60
2016-04-09 00:00:00,42,80
2016-04-10 00:00:00,41,53
2016-04-11 00:00:00,27,32
2016-04-12 00:00:00,53,41
2016-04-13 00:00:00,59,20
2016-04-14 00:00:00,64,89
2016-04-15 00:00:00,60,74
2016-04-16 00:00:00,44,86
2016-04-17 00:00:00,21,17
2016-04-18 00:00:00,53,30
2016-04-19 00:00:00,48,87
2016-04-20 00:00:00,40,55
2016-04-21 00:00:00,63,60
2016-04-22 00:00:00,41,96
2016-04-23 00:00:00,79,103
2016-04-24 00:00:00,44,143
2016-04-25 00:00:00,36,51
2016-04-26 00:00:00,22,43
2016-04-27 00:00:00,81,76
2016-04-28 00:00:00,52,77
2016-04-29 00:00:00,34,20
2016-04-30 00:00:00,50,143
2016-05-01 00:00:00,102,130
2016-05-02 00:00:00,39,47
2016-05-03 00:00:00,28,89
2016-05-04 00:00:00,57,95
